Tytul;issn;eissn;punkty;;;;;;;;
BIOCHEMICAL JOURNAL;0264-6021;;35;;;;;;;;
BIOCHEMICAL PHARMACOLOGY;0006-2952;;40;;;;;;;;
BIOCHEMICAL SOCIETY TRANSACTIONS;0300-5127;;30;;;;;;;;
BIOCHEMICAL SYSTEMATICS AND ECOLOGY;0305-1978;;15;;;;;;;;
BIOCHEMISTRY;0006-2960;;25;;;;;;;;
Biochemistry and Cell Biology;0829-8211;;20;;;;;;;;
BIOCHEMISTRY AND MOLECULAR BIOLOGY EDUCATION;1470-8175;;20;;;;;;;;
BIOCHEMISTRY-MOSCOW;0006-2979;;15;;;;;;;;
BIOCHIMICA ET BIOPHYSICA ACTA-BIOENERGETICS;0005-2728;;40;;;;;;;;
BIOCHIMICA ET BIOPHYSICA ACTA-BIOMEMBRANES;0005-2736;;35;;;;;;;;
Biochimica et Biophysica Acta-Gene Regulatory Mechanisms;1874-9399;;40;;;;;;;;
BIOCHIMICA ET BIOPHYSICA ACTA-GENERAL SUBJECTS;0304-4165;;35;;;;;;;;
BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR AND CELL
BIOLOGY OF LIPIDS;1388-1981;;35;;;;;;;;
BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR BASIS OF
DISEASE;0925-4439;;40;;;;;;;;
BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR CELL
RESEARCH;0167-4889;;35;;;;;;;;
BIOCHIMICA ET BIOPHYSICA ACTA-PROTEINS AND
PROTEOMICS;1570-9639;;30;;;;;;;;
BIOCHIMICA ET BIOPHYSICA ACTA-REVIEWS ON CANCER;0304-419X;;45;;;;;;;;
BIOCHIMIE;0300-9084;;30;;;;;;;;
BioChip Journal;1976-0280;;15;;;;;;;;
BIOCONJUGATE CHEMISTRY;1043-1802;;40;;;;;;;;
BIOCONTROL;1386-6141;;40;;;;;;;;
BIOCONTROL SCIENCE;1342-4815;;15;;;;;;;;
BIOCONTROL SCIENCE AND TECHNOLOGY;0958-3157;;20;;;;;;;;
Biocybernetics and Biomedical Engineering;0208-5216;;15;;;;;;;;
BioData Mining;1756-0381;;30;;;;;;;;
BIODEGRADATION;0923-9820;;25;;;;;;;;
Biodemography and Social Biology;1948-5565;;30;;;;;;;;
BIODIVERSITY AND CONSERVATION;0960-3115;;30;;;;;;;;
BIODRUGS;1173-8804;;30;;;;;;;;
BIOELECTROCHEMISTRY;1567-5394;;35;;;;;;;;
BIOELECTROMAGNETICS;0197-8462;;25;;;;;;;;
BioEnergy Research;1939-1234;;45;;;;;;;;
Bioengineered;2165-5979;;20;;;;;;;;
BIOESSAYS;0265-9247;;40;;;;;;;;
BIOETHICS;0269-9702;;35;;;;;;;;
Biofabrication;1758-5082;;45;;;;;;;;
BIOFACTORS;0951-6433;;35;;;;;;;;
BIOFOULING;0892-7014;;40;;;;;;;;
Biofuels Bioproducts & Biorefining-Biofpr;1932-104X;;45;;;;;;;;
BIOFUTUR;0294-3506;;15;;;;;;;;
BIOGEOCHEMISTRY;0168-2563;;40;;;;;;;;
Biogeosciences;1726-4170;;40;;;;;;;;
BIOGERONTOLOGY;1389-5729;;30;;;;;;;;
BIOINFORMATICS;1367-4803;;45;;;;;;;;
BIOINORGANIC CHEMISTRY AND APPLICATIONS;1565-3633;;20;;;;;;;;
Bioinspiration & Biomimetics;1748-3182;;35;;;;;;;;
Bioinspired Biomimetic and Nanobiomaterials;2045-9858;;15;;;;;;;;
Biointerphases;1934-8630;;30;;;;;;;;
BIOLOGIA;0006-3088;;20;;;;;;;;
BIOLOGIA PLANTARUM;0006-3134;;25;;;;;;;;
BIOLOGICAL & PHARMACEUTICAL BULLETIN;0918-6158;;20;;;;;;;;
BIOLOGICAL AGRICULTURE & HORTICULTURE;0144-8765;;25;;;;;;;;
BIOLOGICAL BULLETIN;0006-3185;;30;;;;;;;;
BIOLOGICAL CHEMISTRY;1431-6730;;25;;;;;;;;
BIOLOGICAL CONSERVATION;0006-3207;;40;;;;;;;;
BIOLOGICAL CONTROL;1049-9644;;35;;;;;;;;
BIOLOGICAL CYBERNETICS;0340-1200;;25;;;;;;;;
BIOLOGICAL INVASIONS;1387-3547;;35;;;;;;;;
BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY;0024-4066;;20;;;;;;;;
BIOLOGICAL PROCEDURES ONLINE;1480-9222;;25;;;;;;;;
BIOLOGICAL PSYCHIATRY;0006-3223;;50;;;;;;;;
BIOLOGICAL PSYCHOLOGY;0301-0511;;40;;;;;;;;
BIOLOGICAL RESEARCH;0716-9760;;25;;;;;;;;
Biological Research for Nursing;1099-8004;;35;;;;;;;;
BIOLOGICAL REVIEWS;1464-7931;;50;;;;;;;;
BIOLOGICAL RHYTHM RESEARCH;0929-1016;;20;;;;;;;;
BIOLOGICAL TRACE ELEMENT RESEARCH;0163-4984;;15;;;;;;;;
Biologically Inspired Cognitive Architectures;2212-683X;;15;;;;;;;;
BIOLOGICALS;1045-1056;;20;;;;;;;;
BIOLOGICHESKIE MEMBRANY;0233-4755;;15;;;;;;;;
BIOLOGY & PHILOSOPHY;0169-3867;;40;;;;;;;;
BIOLOGY AND ENVIRONMENT-PROCEEDINGS OF THE ROYAL
IRISH ACADEMY;0791-7945;;15;;;;;;;;
BIOLOGY AND FERTILITY OF SOILS;0178-2762;;40;;;;;;;;
BIOLOGY BULLETIN;1062-3590;;15;;;;;;;;
Biology Direct;1745-6150;;35;;;;;;;;
Biology Letters;1744-9561;;35;;;;;;;;
BIOLOGY OF BLOOD AND MARROW TRANSPLANTATION;1083-8791;;35;;;;;;;;
BIOLOGY OF REPRODUCTION;0006-3363;;40;;;;;;;;
Biology of Sex Differences;2042-6410;;35;;;;;;;;
BIOLOGY OF SPORT;0860-021X;;15;;;;;;;;
BIOLOGY OF THE CELL;0248-4900;;30;;;;;;;;
Biology Open;2046-6390;;35;;;;;;;;
BIOMACROMOLECULES;1525-7797;;45;;;;;;;;
BIOMARKERS;1354-750X;;25;;;;;;;;
Biomarkers in Medicine;1752-0363;;30;;;;;;;;
BIOMASS & BIOENERGY;0961-9534;;35;;;;;;;;
BIOMATERIALS;0142-9612;;50;;;;;;;;
Biomaterials Science;2047-4830;;30;;;;;;;;
Biomechanics and Modeling in Mechanobiology;1617-7959;;35;;;;;;;;
Biomed Research International;2314-6133;;25;;;;;;;;
Biomedica;0120-4157;;20;;;;;;;;
BIOMEDICAL AND ENVIRONMENTAL SCIENCES;0895-3988;;25;;;;;;;;
BIOMEDICAL CHROMATOGRAPHY;0269-3879;;20;;;;;;;;
Biomedical Engineering Online;1475-925X;;25;;;;;;;;
BIOMEDICAL ENGINEERING-APPLICATIONS BASIS
COMMUNICATIONS;1016-2372;;15;;;;;;;;
Biomedical Engineering-Biomedizinische Technik;0013-5585;;20;;;;;;;;
Biomedical Materials;1748-6041;;30;;;;;;;;
BIO-MEDICAL MATERIALS AND ENGINEERING;0959-2989;;20;;;;;;;;
BIOMEDICAL MICRODEVICES;1387-2176;;35;;;;;;;;
Biomedical Optics Express;2156-7085;;40;;;;;;;;
BIOMEDICAL PAPERS-OLOMOUC;1213-8118;;20;;;;;;;;
BIOMEDICAL RESEARCH-INDIA;0970-938X;;15;;;;;;;;
BIOMEDICAL RESEARCH-TOKYO;0388-6107;;20;;;;;;;;
Biomedical Signal Processing and Control;1746-8094;;25;;;;;;;;
BIOMEDICINE & PHARMACOTHERAPY;0753-3322;;25;;;;;;;;
BIOMETALS;0966-0844;;30;;;;;;;;
BIOMETRICAL JOURNAL;0323-3847;;35;;;;;;;;
BIOMETRICS;0006-341X;;30;;;;;;;;
BIOMETRIKA;0006-3444;;35;;;;;;;;
Biomicrofluidics;1932-1058;;35;;;;;;;;
Biomolecular NMR Assignments;1874-2718;;15;;;;;;;;
Biomolecules & Therapeutics;1976-9148;;20;;;;;;;;
BIOORGANIC & MEDICINAL CHEMISTRY;0968-0896;;30;;;;;;;;
BIOORGANIC & MEDICINAL CHEMISTRY LETTERS;0960-894X;;30;;;;;;;;
BIOORGANIC CHEMISTRY;0045-2068;;25;;;;;;;;
BIOPHARM INTERNATIONAL;1542-166X;;15;;;;;;;;
BIOPHARMACEUTICS & DRUG DISPOSITION;0142-2782;;25;;;;;;;;
BIOPHYSICAL CHEMISTRY;0301-4622;;20;;;;;;;;
BIOPHYSICAL JOURNAL;0006-3495;;35;;;;;;;;
BIOPOLYMERS;0006-3525;;25;;;;;;;;
Biopreservation and Biobanking;1947-5535;;20;;;;;;;;
BIOPROCESS AND BIOSYSTEMS ENGINEERING;1615-7591;;30;;;;;;;;
BIOREMEDIATION JOURNAL;1088-9868;;15;;;;;;;;
BIORESOURCE TECHNOLOGY;0960-8524;;45;;;;;;;;
BioResources;1930-2126;;40;;;;;;;;
BIORHEOLOGY;0006-355X;;20;;;;;;;;
BIOSCIENCE;0006-3568;;40;;;;;;;;
BIOSCIENCE BIOTECHNOLOGY AND BIOCHEMISTRY;0916-8451;;20;;;;;;;;
Bioscience Journal;1516-3725;1981-3163;15;;;;;;;;
BIOSCIENCE REPORTS;0144-8463;;20;;;;;;;;
BioScience Trends;1881-7815;;25;;;;;;;;
Biosemiotics;1875-1342;;30;;;;;;;;
BIOSENSORS & BIOELECTRONICS;0956-5663;;40;;;;;;;;
BioSocieties;1745-8552;;35;;;;;;;;
BIOSTATISTICS;1465-4644;;45;;;;;;;;
BIOSYSTEMS;0303-2647;;25;;;;;;;;
BIOSYSTEMS ENGINEERING;1537-5110;;40;;;;;;;;
BIOTA NEOTROPICA;1676-0603;;20;;;;;;;;
BIOTECHNIC & HISTOCHEMISTRY;1052-0295;;20;;;;;;;;
BIOTECHNIQUES;0736-6205;;30;;;;;;;;
BIOTECHNOLOGIE AGRONOMIE SOCIETE ET
ENVIRONNEMENT;1370-6233;;20;;;;;;;;
BIOTECHNOLOGY & BIOTECHNOLOGICAL EQUIPMENT;1310-2818;;15;;;;;;;;
Biotechnology & Genetic Engineering Reviews;0264-8725;;25;;;;;;;;
BIOTECHNOLOGY ADVANCES;0734-9750;;50;;;;;;;;
BIOTECHNOLOGY AND APPLIED BIOCHEMISTRY;0885-4513;;20;;;;;;;;
BIOTECHNOLOGY AND BIOENGINEERING;0006-3592;;40;;;;;;;;
BIOTECHNOLOGY AND BIOPROCESS ENGINEERING;1226-8372;;20;;;;;;;;
Biotechnology for Biofuels;1754-6834;;45;;;;;;;;
Biotechnology Journal;1860-6768;;35;;;;;;;;
BIOTECHNOLOGY LAW REPORT;0730-031X;;15;;;;;;;;
BIOTECHNOLOGY LETTERS;0141-5492;;20;;;;;;;;
BIOTECHNOLOGY PROGRESS;8756-7938;;30;;;;;;;;
BIOTROPICA;0006-3606;;25;;;;;;;;
BIPOLAR DISORDERS;1398-5647;;40;;;;;;;;
BIRD CONSERVATION INTERNATIONAL;0959-2709;;30;;;;;;;;
BIRD STUDY;0006-3657;;25;;;;;;;;
BIRTH DEFECTS RESEARCH PART A-CLINICAL AND
MOLECULAR TERATOLOGY;1542-0752;;25;;;;;;;;
BIRTH DEFECTS RESEARCH PART B-DEVELOPMENTAL AND
REPRODUCTIVE TOXICOLOGY;1542-9733;;25;;;;;;;;
BIRTH DEFECTS RESEARCH PART C-EMBRYO TODAY-
REVIEWS;1542-975X;1542-9768;40;;;;;;;;
BIRTH-ISSUES IN PERINATAL CARE;0730-7659;;45;;;;;;;;
BIT NUMERICAL MATHEMATICS;0006-3835;;30;;;;;;;;
BJOG-AN INTERNATIONAL JOURNAL OF OBSTETRICS AND
GYNAECOLOGY;1470-0328;;45;;;;;;;;
BJU INTERNATIONAL;1464-4096;;40;;;;;;;;
BLACK SCHOLAR;0006-4246;;15;;;;;;;;
BLOOD;0006-4971;;50;;;;;;;;
Blood Cancer Journal;2044-5385;;35;;;;;;;;
BLOOD CELLS MOLECULES AND DISEASES;1079-9796;;25;;;;;;;;
BLOOD COAGULATION & FIBRINOLYSIS;0957-5235;;15;;;;;;;;
BLOOD PRESSURE;0803-7051;;20;;;;;;;;
BLOOD PRESSURE MONITORING;1359-5237;;20;;;;;;;;
BLOOD PURIFICATION;0253-5068;;25;;;;;;;;
BLOOD REVIEWS;0268-960X;;40;;;;;;;;
Blood Transfusion;1723-2007;;25;;;;;;;;
BLUMEA;0006-5196;;15;;;;;;;;
BMB Reports;1976-6696;;20;;;;;;;;
BMC Anesthesiology;1471-2253;;20;;;;;;;;
BMC BIOCHEMISTRY;1471-2091;;20;;;;;;;;
BMC BIOINFORMATICS;1471-2105;;35;;;;;;;;
BMC BIOLOGY;1741-7007;;45;;;;;;;;
BMC Biophysics;2046-1682;;25;;;;;;;;
BMC BIOTECHNOLOGY;1472-6750;;30;;;;;;;;
BMC CANCER;1471-2407;;30;;;;;;;;
BMC Cardiovascular Disorders;1471-2261;;25;;;;;;;;
BMC CELL BIOLOGY;1471-2121;;25;;;;;;;;
BMC Complementary and Alternative Medicine;1472-6882;;40;;;;;;;;
BMC DEVELOPMENTAL BIOLOGY;1471-213X;;30;;;;;;;;
BMC ECOLOGY;1472-6785;;30;;;;;;;;
BMC Endocrine Disorders;1472-6823;;25;;;;;;;;
BMC EVOLUTIONARY BIOLOGY;1471-2148;;35;;;;;;;;
BMC Family Practice;1471-2296;;35;;;;;;;;
BMC GASTROENTEROLOGY;1471-230X;;25;;;;;;;;
BMC GENETICS;1471-2156;;25;;;;;;;;
BMC GENOMICS;1471-2164;;40;;;;;;;;
BMC Geriatrics;1471-2318;;30;;;;;;;;
BMC HEALTH SERVICES RESEARCH;1472-6963;;25;;;;;;;;
BMC IMMUNOLOGY;1471-2172;;25;;;;;;;;
BMC INFECTIOUS DISEASES;1471-2334;;30;;;;;;;;
BMC International Health and Human Rights;1472-698X;;25;;;;;;;;
BMC Medical Education;1472-6920;;35;;;;;;;;
BMC Medical Ethics;1472-6939;;35;;;;;;;;
BMC Medical Genetics;1471-2350;;25;;;;;;;;
BMC Medical Genomics;1755-8794;;35;;;;;;;;
BMC MEDICAL IMAGING;1471-2342;;20;;;;;;;;
BMC Medical Informatics and Decision Making;1472-6947;;30;;;;;;;;
BMC Medical Research Methodology;1471-2288;;35;;;;;;;;
BMC Medicine;1741-7015;;45;;;;;;;;
BMC MICROBIOLOGY;1471-2180;;30;;;;;;;;
BMC MOLECULAR BIOLOGY;1471-2199;;30;;;;;;;;
BMC MUSCULOSKELETAL DISORDERS;1471-2474;;30;;;;;;;;
BMC Nephrology;1471-2369;;30;;;;;;;;
BMC Neurology;1471-2377;;30;;;;;;;;
BMC NEUROSCIENCE;1471-2202;;25;;;;;;;;
BMC Ophthalmology;1471-2415;;25;;;;;;;;
BMC Oral Health;1472-6831;;25;;;;;;;;
BMC Palliative Care;1472-684X;;25;;;;;;;;
BMC Pediatrics;1471-2431;;35;;;;;;;;
BMC Pharmacology & Toxicology;2050-6511;;20;;;;;;;;
BMC PLANT BIOLOGY;1471-2229;;40;;;;;;;;
BMC Pregnancy and Childbirth;1471-2393;;35;;;;;;;;
BMC Psychiatry;1471-244X;;30;;;;;;;;
BMC PUBLIC HEALTH;1471-2458;;35;;;;;;;;
BMC Pulmonary Medicine;1471-2466;;30;;;;;;;;
BMC STRUCTURAL BIOLOGY;1472-6807;;25;;;;;;;;
BMC Surgery;1471-2482;;30;;;;;;;;
BMC Systems Biology;1752-0509;;40;;;;;;;;
BMC Urology;1471-2490;;30;;;;;;;;
BMC Veterinary Research;1746-6148;;40;;;;;;;;
BMC Womens Health;1472-6874;;25;;;;;;;;
BMGN-The Low Countries Historical Review;0165-0505;;20;;;;;;;;
BMJ Open;2044-6055;;35;;;;;;;;
BMJ Quality & Safety;2044-5415;;45;;;;;;;;
BMJ-British Medical Journal;1756-1833;;45;;;;;;;;
Body & Society;1357-034X;;35;;;;;;;;
Body Image;1740-1445;;30;;;;;;;;
BOIS ET FORETS DES TROPIQUES;0006-579X;;15;;;;;;;;
Boletim de Ciencias Geodesicas;1982-2170;;15;;;;;;;;
BOLETIM DO INSTITUTO DE PESCA;0046-9939;;15;;;;;;;;
Boletin de la Asociacion de Geografos Espanoles;0212-9426;;15;;;;;;;;
Boletin de la Sociedad Argentina de Botanica;1851-2372;;15;;;;;;;;
BOLETIN DE LA SOCIEDAD BOTANICA DE MEXICO;0366-2128;;20;;;;;;;;
BOLETIN DE LA SOCIEDAD ESPANOLA DE CERAMICA Y
VIDRIO;0366-3175;;20;;;;;;;;
Boletin de la Sociedad Geologica Mexicana;1405-3322;;15;;;;;;;;
Boletin de Malariologia y Salud Ambiental;1690-4648;;15;;;;;;;;
Boletin Latinoamericano y del Caribe de Plantas
Medicinales y Aromaticas;0717-7917;;15;;;;;;;;
BOLLETTINO DELLA SOCIETA PALEONTOLOGICA ITALIANA;0375-7633;;20;;;;;;;;
Bollettino di Geofisica Teorica ed Applicata;0006-6729;;20;;;;;;;;
Bollettino di Storia delle Scienze Matematiche;0392-4432;;15;;;;;;;;
BONE;8756-3282;;35;;;;;;;;
Bone & Joint Journal;2049-4394;;35;;;;;;;;
Bone & Joint Research;2046-3758;;25;;;;;;;;
BONE MARROW TRANSPLANTATION;0268-3369;;30;;;;;;;;
Bone Research;2095-4700;;25;;;;;;;;
BONNER ZOOLOGISCHE MONOGRAPHIEN;0302-671X;;15;;;;;;;;
BOREAL ENVIRONMENT RESEARCH;1239-6095;;25;;;;;;;;
BOREAS;0300-9483;;35;;;;;;;;
Bosnian Journal of Basic Medical Sciences;1512-8601;;15;;;;;;;;
BOSQUE;0717-9200;;20;;;;;;;;
BOSTON UNIVERSITY LAW REVIEW;0006-8047;;30;;;;;;;;
BOTANICA HELVETICA;0253-1453;;20;;;;;;;;
BOTANICA MARINA;0006-8055;;25;;;;;;;;
BOTANICAL JOURNAL OF THE LINNEAN SOCIETY;0024-4074;;35;;;;;;;;
BOTANICAL REVIEW;0006-8101;;35;;;;;;;;
Botanical Sciences;2007-4298;;20;;;;;;;;
Botanical Studies;1999-3110;;20;;;;;;;;
Botany;1916-2790;;25;;;;;;;;
BOTHALIA;0006-8241;;20;;;;;;;;
BOUNDARY 2-AN INTERNATIONAL JOURNAL OF LITERATURE
AND CULTURE;0190-3659;;20;;;;;;;;
Boundary Value Problems;1687-2770;;35;;;;;;;;
BOUNDARY-LAYER METEOROLOGY;0006-8314;;30;;;;;;;;
Brachytherapy;1538-4721;;25;;;;;;;;
Bradleya;0265-086X;;15;;;;;;;;
BRAGANTIA;1678-4499;;20;;;;;;;;
BRAIN;0006-8950;;50;;;;;;;;
BRAIN & DEVELOPMENT;0387-7604;;20;;;;;;;;
Brain and Behavior;2162-3279;;20;;;;;;;;
BRAIN AND COGNITION;0278-2626;;35;;;;;;;;
BRAIN AND LANGUAGE;0093-934X;;40;;;;;;;;
BRAIN BEHAVIOR AND EVOLUTION;0006-8977;;30;;;;;;;;
BRAIN BEHAVIOR AND IMMUNITY;0889-1591;;40;;;;;;;;
Brain Imaging and Behavior;1931-7557;;35;;;;;;;;
Brain Impairment;1443-9646;;15;;;;;;;;
BRAIN INJURY;0269-9052;;30;;;;;;;;
BRAIN PATHOLOGY;1015-6305;;40;;;;;;;;
BRAIN RESEARCH;0006-8993;;25;;;;;;;;
BRAIN RESEARCH BULLETIN;0361-9230;;25;;;;;;;;
BRAIN RESEARCH REVIEWS;0165-0173;;45;;;;;;;;
Brain Stimulation;1935-861X;;45;;;;;;;;
Brain Structure & Function;1863-2653;;45;;;;;;;;
BRAIN TOPOGRAPHY;0896-0267;;35;;;;;;;;
Brain Tumor Pathology;1433-7398;;20;;;;;;;;
Bratislava Medical Journal-Bratislavske Lekarske Listy;0006-9248;;20;;;;;;;;
BRAZILIAN ARCHIVES OF BIOLOGY AND TECHNOLOGY;1516-8913;;15;;;;;;;;
BRAZILIAN JOURNAL OF BIOLOGY;1519-6984;;20;;;;;;;;
Brazilian Journal of Botany;1806-9959;;25;;;;;;;;
BRAZILIAN JOURNAL OF CHEMICAL ENGINEERING;0104-6632;;25;;;;;;;;
Brazilian Journal of Geology;2317-4889;;15;;;;;;;;
Brazilian Journal of Infectious Diseases;1413-8670;;15;;;;;;;;
BRAZILIAN JOURNAL OF MEDICAL AND BIOLOGICAL
RESEARCH;0100-879X;;25;;;;;;;;
BRAZILIAN JOURNAL OF MICROBIOLOGY;1517-8382;;15;;;;;;;;
BRAZILIAN JOURNAL OF OCEANOGRAPHY;1679-8759;;20;;;;;;;;
Brazilian Journal of Otorhinolaryngology;1808-8694;;15;;;;;;;;
Brazilian Journal of Pharmaceutical Sciences;1984-8250;;15;;;;;;;;
Brazilian Journal of Physical Therapy;1413-3555;;20;;;;;;;;
BRAZILIAN JOURNAL OF PHYSICS;0103-9733;;20;;;;;;;;
Brazilian Journal of Poultry Science;1516-635X;;20;;;;;;;;
Brazilian Journal of Probability and Statistics;0103-0752;;15;;;;;;;;
Brazilian Oral Research;1806-8324;;15;;;;;;;;
BREAST;0960-9776;;30;;;;;;;;
Breast Cancer;1340-6868;;20;;;;;;;;
BREAST CANCER RESEARCH;1465-542X;;40;;;;;;;;
BREAST CANCER RESEARCH AND TREATMENT;0167-6806;;35;;;;;;;;
Breast Care;1661-3791;;15;;;;;;;;
Breast Journal;1075-122X;;25;;;;;;;;
Breastfeeding Medicine;1556-8253;;30;;;;;;;;
BREEDING SCIENCE;1344-7610;;30;;;;;;;;
BRIEFINGS IN BIOINFORMATICS;1467-5463;;50;;;;;;;;
Briefings in Functional Genomics;2041-2649;;35;;;;;;;;
Britain and the World;2043-8567;;15;;;;;;;;
British Accounting Review;0890-8389;;25;;;;;;;;
BRITISH DENTAL JOURNAL;0007-0610;;20;;;;;;;;
BRITISH EDUCATIONAL RESEARCH JOURNAL;0141-1926;;35;;;;;;;;
British Food Journal;0007-070X;;25;;;;;;;;
BRITISH JOURNAL FOR THE HISTORY OF SCIENCE;0007-0874;;30;;;;;;;;
BRITISH JOURNAL FOR THE PHILOSOPHY OF SCIENCE;0007-0882;;45;;;;;;;;
BRITISH JOURNAL OF ANAESTHESIA;0007-0912;;45;;;;;;;;
BRITISH JOURNAL OF BIOMEDICAL SCIENCE;0967-4845;;20;;;;;;;;
BRITISH JOURNAL OF CANCER;0007-0920;;40;;;;;;;;
BRITISH JOURNAL OF CLINICAL PHARMACOLOGY;0306-5251;;35;;;;;;;;
BRITISH JOURNAL OF CLINICAL PSYCHOLOGY;0144-6657;;35;;;;;;;;
BRITISH JOURNAL OF CRIMINOLOGY;0007-0955;;35;;;;;;;;
BRITISH JOURNAL OF DERMATOLOGY;0007-0963;;45;;;;;;;;
British Journal of Developmental Disabilities;0969-7950;;15;;;;;;;;
BRITISH JOURNAL OF DEVELOPMENTAL PSYCHOLOGY;0261-510X;;25;;;;;;;;
BRITISH JOURNAL OF EDUCATIONAL PSYCHOLOGY;0007-0998;;35;;;;;;;;
BRITISH JOURNAL OF EDUCATIONAL STUDIES;0007-1005;;30;;;;;;;;
BRITISH JOURNAL OF EDUCATIONAL TECHNOLOGY;0007-1013;;40;;;;;;;;
BRITISH JOURNAL OF GENERAL PRACTICE;0960-1643;;40;;;;;;;;
BRITISH JOURNAL OF GUIDANCE & COUNSELLING;0306-9885;;15;;;;;;;;
BRITISH JOURNAL OF HAEMATOLOGY;0007-1048;;40;;;;;;;;
BRITISH JOURNAL OF HEALTH PSYCHOLOGY;1359-107X;;35;;;;;;;;
BRITISH JOURNAL OF HOSPITAL MEDICINE;1750-8460;;15;;;;;;;;
BRITISH JOURNAL OF INDUSTRIAL RELATIONS;0007-1080;;35;;;;;;;;
British Journal of Learning Disabilities;1354-4187;;15;;;;;;;;
BRITISH JOURNAL OF MANAGEMENT;1045-3172;;30;;;;;;;;
BRITISH JOURNAL OF MATHEMATICAL & STATISTICAL
PSYCHOLOGY;0007-1102;;35;;;;;;;;
British Journal of Middle Eastern Studies;1353-0194;;20;;;;;;;;
British Journal of Music Education;0265-0517;;30;;;;;;;;
BRITISH JOURNAL OF NEUROSURGERY;0268-8697;;20;;;;;;;;
BRITISH JOURNAL OF NUTRITION;0007-1145;;35;;;;;;;;
British Journal of Occupational Therapy;0308-0226;;20;;;;;;;;
BRITISH JOURNAL OF OPHTHALMOLOGY;0007-1161;;40;;;;;;;;
BRITISH JOURNAL OF ORAL & MAXILLOFACIAL SURGERY;0266-4356;;30;;;;;;;;
BRITISH JOURNAL OF PHARMACOLOGY;0007-1188;;40;;;;;;;;
BRITISH JOURNAL OF POLITICAL SCIENCE;0007-1234;;45;;;;;;;;
British Journal of Politics & International Relations;1369-1481;;35;;;;;;;;
BRITISH JOURNAL OF PSYCHIATRY;0007-1250;;45;;;;;;;;
BRITISH JOURNAL OF PSYCHOLOGY;0007-1269;;40;;;;;;;;
BRITISH JOURNAL OF RADIOLOGY;0007-1285;;25;;;;;;;;
British Journal of Religious Education;0141-6200;;20;;;;;;;;
BRITISH JOURNAL OF SOCIAL PSYCHOLOGY;0144-6665;;35;;;;;;;;
BRITISH JOURNAL OF SOCIAL WORK;0045-3102;;40;;;;;;;;
BRITISH JOURNAL OF SOCIOLOGY;0007-1315;;40;;;;;;;;
BRITISH JOURNAL OF SOCIOLOGY OF EDUCATION;0142-5692;;30;;;;;;;;
BRITISH JOURNAL OF SPORTS MEDICINE;0306-3674;;45;;;;;;;;
BRITISH JOURNAL OF SURGERY;0007-1323;;50;;;;;;;;
BRITISH MEDICAL BULLETIN;0007-1420;;40;;;;;;;;
British Politics;1746-918X;;25;;;;;;;;
BRITISH POULTRY SCIENCE;0007-1668;;30;;;;;;;;
BRITTONIA;0007-196X;;15;;;;;;;;
Brodogradnja;0007-215X;;20;;;;;;;;
BROOKINGS PAPERS ON ECONOMIC ACTIVITY;0007-2303;;50;;;;;;;;
BRQ-Business Research Quarterly;2340-9436;;15;;;;;;;;
BRYOLOGIST;0007-2745;;20;;;;;;;;
Buffalo Bulletin;0125-6726;;15;;;;;;;;
BUFFALO LAW REVIEW;0023-9356;;20;;;;;;;;
BUILDING AND ENVIRONMENT;0360-1323;;40;;;;;;;;
BUILDING RESEARCH AND INFORMATION;0961-3218;;40;;;;;;;;
Building Services Engineering Research & Technology;0143-6244;;25;;;;;;;;
Building Simulation;1996-3599;;25;;;;;;;;
Bulgarian Chemical Communications;0324-1130;;15;;;;;;;;
Bulgarian Journal of Agricultural Science;1310-0351;;15;;;;;;;;
BULLETIN DE L ACADEMIE NATIONALE DE MEDECINE;0001-4079;;15;;;;;;;;
BULLETIN DE L ACADEMIE VETERINAIRE DE FRANCE;0001-4192;;15;;;;;;;;
BULLETIN DE LA SOCIETE GEOLOGIQUE DE FRANCE;0037-9409;;25;;;;;;;;
BULLETIN DE LA SOCIETE MATHEMATIQUE DE FRANCE;0037-9484;;25;;;;;;;;
BULLETIN DES SCIENCES MATHEMATIQUES;0007-4497;;30;;;;;;;;
BULLETIN DU CANCER;0007-4551;;15;;;;;;;;
Bulletin Mathematique de la Societe des Sciences
Mathematiques de Roumanie;1220-3874;;20;;;;;;;;
BULLETIN MENSUEL DE LA SOCIETE LINNEENNE DE LYON;0366-1326;;15;;;;;;;;
Bulletin of Earthquake Engineering;1570-761X;;30;;;;;;;;
BULLETIN OF ECONOMIC RESEARCH;0307-3378;;15;;;;;;;;
Bulletin of Engineering Geology and the Environment;1435-9529;;20;;;;;;;;
BULLETIN OF ENTOMOLOGICAL RESEARCH;0007-4853;;35;;;;;;;;
BULLETIN OF ENVIRONMENTAL CONTAMINATION AND
TOXICOLOGY;0007-4861;;20;;;;;;;;
BULLETIN OF EXPERIMENTAL BIOLOGY AND MEDICINE;0007-4888;;15;;;;;;;;
BULLETIN OF GEOSCIENCES;1214-1119;;25;;;;;;;;
BULLETIN OF INDONESIAN ECONOMIC STUDIES;0007-4918;;25;;;;;;;;
